s10,s1,s4,s11,s22,s6,s19,s18,s3,s15,s2,s31,s32,s16,s25,s23,s30,s5,s7,s12,s13,s24,s35,s21,s28,s29,s33,s8,s9,s14,s17,s20,s26,s27,s34,a1,a6,a11,a4,a8,a20,a35,a42,a51,a52,a7,a29,a45,a47,a17,a26,a27,a48,a13,a16,a21,a23,a32,a37,a50,a2,a5,a3,a25,a38,a10,a15,a18,a30,a46,a9,a12,a14,a19,a22,a24,a31,a33,a34,a36,a39,a41,a43,a44,a28,a40,a49,fo_probability,fo_computerisation
47,72,69,47,13,50,25,28,69,38,72,0,0,38,0,6,0,50,50,44,44,6,0,19,0,0,0,47,47,41,35,25,0,0,0,78,69,50,72,53,35,25,0,0,0,66,25,0,0,44,25,25,0,47,44,31,28,25,22,0,75,72,72,25,13,50,47,41,25,0,50,47,47,35,31,25,25,25,25,22,3,0,0,0,25,3,0,0.37,0
78,81,72,78,16,66,44,50,81,56,75,0,13,50,0,13,28,81,56,44,50,19,0,22,19,16,3,72,50,69,41,44,0,0,0,75,47,69,72,75,10,22,0,0,0,69,0,0,0,44,3,0,0,81,53,47,44,41,25,0,81,81,41,25,0,53,78,19,19,0,47,78,69,44,0,19,0,0,0,0,28,16,0,31,22,6,0,0.4,0
56,69,47,53,53,53,50,41,66,38,66,50,28,41,47,69,50,72,53,44,47,28,56,44,28,28,69,63,47,50,35,50,41,28,50,75,47,53,53,72,25,44,41,3,0,72,19,0,25,47,25,35,28,72,53,60,41,56,47,3,75,75,44,47,10,53,69,56,50,0,50,72,72,47,10,50,41,6,25,19,50,53,0,50,50,25,19,0.24,0
81,81,50,63,25,53,72,50,75,44,72,0,28,47,0,25,81,81,50,44,47,22,0,50,41,25,22,75,50,56,47,75,0,0,0,75,47,60,66,72,19,25,22,0,0,69,0,0,0,38,0,0,0,78,75,56,41,44,22,0,75,75,38,25,0,56,75,35,0,0,53,75,72,41,0,0,0,0,0,0,78,0,0,91,13,13,0,0.035,0
69,69,75,69,16,56,53,53,78,53,75,0,19,60,0,16,50,75,63,47,50,19,0,44,44,41,16,63,63,56,53,53,3,0,0,81,69,72,75,66,16,47,19,0,0,69,0,0,0,44,0,0,0,63,60,53,41,47,19,0,75,75,38,19,0,47,72,56,10,0,69,72,56,47,0,10,0,0,0,0,47,3,0,50,16,19,0,0.015,0
56,60,72,53,0,50,50,72,69,69,78,25,22,75,0,25,44,56,50,31,41,22,0,28,25,25,16,50,53,47,35,28,0,0,0,78,56,75,78,53,25,38,25,10,0,60,0,6,10,47,0,0,10,53,50,47,44,44,25,13,75,72,35,25,0,50,63,47,0,6,56,53,50,44,0,10,22,0,0,6,44,22,0,44,16,3,10,0.075,0
41,50,47,44,13,53,44,31,53,22,53,72,16,25,47,69,38,47,50,31,31,6,50,19,19,19,53,44,50,41,22,28,28,3,50,53,25,50,50,60,63,44,50,22,31,63,28,19,60,44,50,56,56,50,53,50,31,56,44,22,56,53,28,50,22,53,44,53,66,25,22,53,53,47,47,66,56,53,66,19,35,63,13,38,60,44,47,0.95,1
41,50,47,44,13,53,44,31,53,22,53,72,16,25,47,69,38,47,50,31,31,6,50,19,19,19,53,44,50,41,22,28,28,3,50,53,25,50,50,60,63,44,50,22,31,63,28,19,60,44,50,56,56,50,53,50,31,56,44,22,56,53,28,50,22,53,44,53,66,25,22,53,53,47,47,66,56,53,66,19,35,63,13,38,60,44,47,0.95,1
41,50,47,44,13,53,44,31,53,22,53,72,16,25,47,69,38,47,50,31,31,6,50,19,19,19,53,44,50,41,22,28,28,3,50,53,25,50,50,60,63,44,50,22,31,63,28,19,60,44,50,56,56,50,53,50,31,56,44,22,56,53,28,50,22,53,44,53,66,25,22,53,53,47,47,66,56,53,66,19,35,63,13,38,60,44,47,0.88,1
60,69,63,66,19,66,47,60,69,50,69,0,10,47,0,22,41,63,56,81,69,22,0,10,3,3,3,53,50,63,41,44,0,0,0,81,56,69,72,63,25,25,0,0,0,66,0,0,0,44,0,0,0,56,47,50,41,41,25,0,72,75,44,25,0,50,75,25,0,0,56,63,50,44,0,0,0,0,0,0,47,0,0,47,19,0,0,0.13,0
38,31,47,28,16,44,25,31,50,28,44,72,0,25,50,69,22,47,31,31,19,13,53,3,10,13,50,38,44,31,31,25,38,10,50,53,28,50,53,60,53,41,60,31,28,66,25,19,56,38,28,50,56,47,38,41,31,47,53,28,56,31,28,47,19,47,25,47,53,35,31,50,50,60,28,56,72,35,53,25,19,72,10,16,50,28,56,0.57,1
38,31,47,28,16,44,25,31,50,28,44,72,0,25,50,69,22,47,31,31,19,13,53,3,10,13,50,38,44,31,31,25,38,10,50,53,28,50,53,60,53,41,60,31,28,66,25,19,56,38,28,50,56,47,38,41,31,47,53,28,56,31,28,47,19,47,25,47,53,35,31,50,50,60,28,56,72,35,53,25,19,72,10,16,50,28,56,0.95,1
38,31,47,28,16,44,25,31,50,28,44,72,0,25,50,69,22,47,31,31,19,13,53,3,10,13,50,38,44,31,31,25,38,10,50,53,28,50,53,60,53,41,60,31,28,66,25,19,56,38,28,50,56,47,38,41,31,47,53,28,56,31,28,47,19,47,25,47,53,35,31,50,50,60,28,56,72,35,53,25,19,72,10,16,50,28,56,0.79,1
56,69,44,53,44,69,53,47,69,47,63,38,13,47,0,56,41,66,47,50,47,19,25,19,16,19,78,53,53,56,41,53,3,0,0,69,41,56,63,75,31,47,31,25,25,72,22,16,28,44,25,28,28,72,53,63,53,56,35,19,72,66,28,50,0,50,53,44,38,22,44,72,53,63,25,41,38,25,25,19,35,35,0,38,41,22,22,0.41,0
78,69,60,53,19,75,56,53,85,41,81,38,19,47,6,56,47,78,63,53,53,19,25,44,19,19,44,75,72,69,47,53,6,0,3,91,60,75,78,94,19,50,41,22,0,78,0,28,13,78,0,3,19,81,66,81,81,78,47,19,91,72,50,63,0,88,60,63,35,16,60,85,75,78,0,38,10,0,0,28,50,47,0,53,47,3,16,0.029,0
56,69,50,47,38,60,53,50,56,35,60,60,13,47,81,78,31,72,50,50,41,25,78,28,13,28,72,72,50,50,41,50,56,35,81,63,47,53,50,75,47,56,47,28,25,72,28,25,47,47,28,50,50,66,50,60,47,53,53,25,60,75,41,50,6,50,60,53,72,25,47,66,75,47,28,72,66,31,47,25,31,75,10,38,75,25,41,0.003,0
50,50,44,44,19,53,47,35,53,31,50,47,13,31,50,47,38,53,50,47,41,25,47,22,25,28,60,50,47,47,31,47,47,47,47,50,35,53,50,69,47,47,44,25,25,66,38,25,38,41,44,53,38,50,50,47,31,50,47,25,53,53,25,50,19,50,47,60,60,25,47,53,60,44,31,53,50,38,47,25,31,53,6,31,63,28,25,0.79,1
