Name_de,Berufshauptgruppe,probability,isco08
Schauspieler,2,0.0651,2655
Richter,2,0.4679,2612
"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,0.655,3115
"Mathematiker, Aktuare und Statistiker",2,0.7195,2120
Führungskräfte in Werbung und Öffentlichkeitsarbeit,1,0.4836,1222
"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",3,0.1566,3339
Pflegedienstleiter und Pflegefachkräfte,2,0.6948,2221
Holztrockner und -konservierer,7,0.4679,7521
Bediener von Maschinen zur Herstellung von Papierwaren,8,0.4679,8143
"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt",8,0.4679,8189
Pflegedienstleiter und Pflegefachkräfte,2,0.3526,2221
Sprachlehrer,2,0.2046,2353
Gemüseanbauer,6,0.2426,6111
Obst- und Beerenanbauer,6,0.2426,6112
"Gärtner, Gartenbau und Pflanzenproduktion",6,0.2426,6113
Fachkräfte in der Mischkulturlandwirtschaft,6,0.2426,6114
Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6,0.2426,6130
Führer von mobilen land- und forstwirtschaftlichen Maschinen,8,0.2426,8341
"Maschinenbau- , Mechatronik- und Systemtechnikingenieure",2,0.9234,2144
Nahrungsmittel- und Getränkekoster und -klassierer,7,0.4494,7515
Universitäts- und Hochschullehrer,2,0.6897,2310
Flugverkehrslotsen,3,0.6372,3154
Flugmotorenmechaniker und -schlosser,7,0.7125,7232
Berufe der Montage von mechanischen Bauteilen,8,0.2842,8211
Feldscher und vergleichbare paramedizinische Praktiker,2,0.6363,2240
"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer",8,0.1626,8322
Flugzeugpiloten und verwandte Berufe,3,0.8894,3153
Nutztierhalter (ohne Geflügel) und Milchproduzenten,6,0.2791,6121
Geflügelhalter,6,0.2791,6122
Imker und Seidenraupenzüchter,6,0.2791,6123
"Tierhalter, anderweitig nicht genannt",6,0.2791,6129
Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6,0.2791,6130
Fachkräfte im Bereich Aquakultur,6,0.2791,6221
Universitäts- und Hochschullehrer,2,0.4474,2310
"Soziologen, Anthropologen und verwandte Wissenschaftler",2,0.7274,2632
"Biologen, Botaniker, Zoologen und verwandte Berufe",2,0.8011,2131
"Juristen, anderweitig nicht genannt",2,0.1023,2619
"Architekten, Innenarchitekten",2,0.6721,2161
Universitäts- und Hochschullehrer,2,0.4926,2310
Führungskräfte in Forschung und Entwicklung,1,0.6205,1223
Archiv- und Museumswissenschaftler,2,0.2964,2621
Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2,0.3623,2654
Universitäts- und Hochschullehrer,2,0.5448,2310
Universitäts- und Hochschullehrer,2,0.3716,2310
Athleten und Berufssportler,3,0.4244,3421
Trainer und Betreuer im Bereich Fitness und Erholung,3,0.5558,3423
Physiker und Astronomen,2,0.4354,2111
Audiologen und Sprachtherapeuten,2,0.6575,2266
Meteorologen,2,0.6283,2112
Techniker für Rundfunk und audiovisuelle Medien,3,0.4216,3521
Universitäts- und Hochschullehrer,2,0.5158,2310
"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,0.5438,3115
Kraftfahrzeugmechaniker und -schlosser,7,0.0718,7231
Kraftfahrzeugmechaniker und -schlosser,7,0.4761,7231
Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe,3,0.5648,3257
Elektroniker und Elektronik-Servicetechniker,7,0.3881,7421
"Boten, Paketauslieferer und Gepäckträger",9,0.185,9621
"Bäcker, Konditoren und Konfektmacher",7,0.2302,7512
Coiffeurs,5,0.1963,5141
Inkassobeauftragte und verwandte Berufe,4,0.0358,4214
Barkeeper,5,0.2845,5132
